dir	repo	commit	date	license
adkit__ads-skills	adkit/ads-skills	9bb3f878a73e01c65a1fc105010985ba32b9afa7	2026-08-03	AdKit
AgriciDaniel__claude-ads	AgriciDaniel/claude-ads	ac21644933910419529bcf81efb95a9ca71edf81	2026-09-11	MIT
arkitekt-ai__OpenCRM	arkitekt-ai/OpenCRM	513b070574499d6fa9835377473e62076f5e91bc	2026-03-25	NONE
aruntemme__pulse-cmo	aruntemme/pulse-cmo	04626391e581f30dd3cfd89b5dab772292ec1d0c	2026-06-04	MIT
astDeniss__business-skills	astDeniss/business-skills	208245b7066f1101b09fbfd728a53717a47837d4	2026-07-09	NONE
claude-office-skills__skills	claude-office-skills/skills	9c4c7d5cd2813a8936bf2c9fdb174ea883b85a11	2026-01-31	MIT
coreyhaines31__marketingskills	coreyhaines31/marketingskills	5b2c0007766c6a1cf1d53fd8fc73e979e0821022	2026-09-04	MIT
eracle__OpenOutreach	eracle/OpenOutreach	b8bb2e36c0b30ff885bd5899d43b27bdad7ee3bd	2026-09-07	GPL-3.0
ericosiu__ai-marketing-skills	ericosiu/ai-marketing-skills	09694f033dead134cccc4a670d6a6dad84bc118b	2026-09-07	MIT
erron-ai__marketing-skills	erron-ai/marketing-skills	6a7bba38d328a83c613232343b46fec722fef76b	2026-03-18	NONE
growthack88__growth-marketing-os	growthack88/growth-marketing-os	db41a8e2e9fae2a0e3d4f16e4bc2af4a4d34b79c	2026-07-03	MIT
guerrilla2799__ai-cmo-operator	guerrilla2799/ai-cmo-operator	6ce2d4e68e3fea7c534c38b87570f7b8b9276935	2026-06-20	MIT
iamwaqargulzar__Marketing-Agent-OS	iamwaqargulzar/Marketing-Agent-OS	adb39acf84ce8920bc6880218eba38f6648aa599	2026-09-04	Apache
kevinbadi__ai-os-skills	kevinbadi/ai-os-skills	eb0f3ec50bb450d49699bb5534738ed1f75328d4	2026-03-28	NONE
kevinbadi__kairos	kevinbadi/kairos	d1fd28850236485041f3e0cef6a2ab34763b4a1f	2026-07-28	MIT
kostja94__marketing-skills	kostja94/marketing-skills	70987bad4ebe9dce1f74858c1c64f3f8810f18e4	2026-06-09	MIT
marketingskills__seo	marketingskills/seo	b25b48c2d3001fd387b37981d2ee54a07d3f6fce	2026-07-15	MIT
markster-public__markster-os	markster-public/markster-os	b1da500547153119661f83ad1817dbacc84ac0a4	2026-04-05	MIT
Meshpilot-AGI__ai-sales-agent	Meshpilot-AGI/ai-sales-agent	e87c79471cdc09765e070fe634c04f50997930b7	2026-05-27	MIT
OpenClaudia__openclaudia-skills	OpenClaudia/openclaudia-skills	10f3fd8090315dfe885e8266618fc541348a749e	2026-09-11	MIT
scayver__marketing-skills	scayver/marketing-skills	18243d7675fa83638f20c660e31311c1bf03294d	2026-07-26	MIT
shalintripathi__saas-marketing-agents	shalintripathi/saas-marketing-agents	95440b5757aff77273561f4a8763c25452f455f1	2026-09-12	MIT
mailgun__talon	mailgun/talon	ee497a79c648fb040e6a8c83114d796a057aee8e	2026-09-11	Apache
